Aldebaran  ,alTau,ICRS,04,35,55.2387,16,30,33.485,0.418533333333333,-18.935,54.3,0.05009,  0.85, 16,  629
Algol      ,bePer,J2000,03,08,10.1315,40,57,20.332,0.0159333333333333,-0.144,4.0,0.03514,  2.12, 40,  673
Antares    ,alSco,ICRS,16,29,24.4609,-26,25,55.209,-0.0677333333333333,-2.321,-3.4,0.0054,  0.96,-26,11359
Regulus    ,alLeo,ICRS,10,08,22.3107,11,58,01.945,-1.66266666666667,0.491,5.9,0.04209,  1.35, 12, 2149
Sirius     ,alCMa,ICRS,06,45,08.9173,-16,42,58.017,-3.64033333333333,-122.314,-7.6,0.37921, -1.46,-16, 1591
Spica      ,alVir,ICRS,13,25,11.5793,-11,09,40.759,-0.283333333333333,-3.173,1.0,0.01244,  0.97,-10, 3672
Spica      ,alVir,ICRS,13,25,11.5793,-11,09,40.759,-0.283333333333333,-3.173,1.0,0.01244,  0.97,-10, 3672
Gal. Center,SgrA*,2000,17,45,40.0383,-29,00,28.069,0.000,   0.00,  0.0,0.0000,999.99,  0,    0
Deneb        ,alCyg,ICRS,20,41,25.9147,45,16,49.217,0.0104,0.155,-4.5,0.00101,  1.25, 44, 3541
Rigel        ,beOri,ICRS,05,14,32.2723,-08,12,05.906,0.0124666666666667,-0.056,20.7,0.00422,  0.12,-08, 1063
Mira        ,omiCet,ICRS,02,19,20.7927,-02,58,39.513,0.0688666666666667,-23.948,63.8,0.00779,  3.04,-03,  353
Ain          ,epTau,ICRS,04,28,36.9995,19,10,49.554,0.714866666666667,-3.677,39,0.02104,  3.54, 18,  640
Altair       ,alAql,ICRS,19,50,46.9990,08,52,05.959,3.57913333333333,38.557,-26.1,0.19445,  0.77, 08, 4236
Arcturus     ,alBoo,ICRS,14,15,39.6720,19,10,56.677,-7.28953333333333,-199.943,-5.2,0.08885, -0.04, 19, 2777
Acrux      ,al-1Cru,ICRS,12,26,35.871,-63,05,56.58,-0.235333333333333,-1.2,-11.2,0,  1.58,-62, 2745
Castor       ,alGem,ICRS,07,34,35.8628,31,53,17.795,-1.37553333333333,-14.818,-206.33,0.06327,  1.58, 32, 1581
Pollux       ,beGem,ICRS,07,45,18.9503,28,01,34.315,-4.17126666666667,-4.596,3.3,0.09674,  1.14, 28, 1463
Ras Algethi  ,alHer,ICRS,17,14,38.8584,14,23,25.198,-0.0447333333333333,3.278,-6.71,0.00853,  2.78, 14, 3207
Denebola     ,beLeo,ICRS,11,49,03.5776,14,34,19.417,-3.3268,-11.378,-.2,0.09016,  2.14, 15, 2383
Vega         ,alLyr,ICRS,18,36,56.3364,38,47,01.291,1.3402,28.747,-13.9,0.12893,  0.03, 38, 3238
Betelgeuse   ,alOri,ICRS,05,55,10.3053,07,24,25.426,0.1822,1.086,21.0,0.00763,  0.50, 07, 1055
Fomalhaut    ,alPsA,ICRS,22,57,39.0465,-29,37,20.050,2.1948,-16.421,6.5,0.13008,  1.16,-30,19370
             ,bePsA,ICRS,22,31,30.3307,-32,20,45.864,0.3976,-1.87,6.3,0.02199,  4.29,-32,17126
             ,epPsA,ICRS,22,40,39.3400,-27,02,37.021,0.146733333333333,-0.088,3,0.00438,  4.17,-27,16010
             ,ioPsA,ICRS,21,44,56.8099,-33,01,32.814,0.211933333333333,-9.4,1.9,0.01593,  4.34,-33,15734
             ,laPsA,ICRS,22,14,18.7514,-27,46,00.867,0.152533333333333,0.19,-5.8,0.00642,  5.43,-28,17653
             ,muPsA,ICRS,22,08,23.0089,-32,59,18.486,0.533666666666667,-2.888,11.6,0.02501,  4.50,-33,15922
             ,piPsA,ICRS,23,03,29.8161,-34,44,57.883,0.498666666666667,8.445,-14,0.03498,  5.11,-35,15630
